PNS index,SNS index,Stress index,Mean RR  (ms),SDNN (ms),Mean HR (beats/min),SD HR (beats/min),Min HR (beats/min),Max HR (beats/min),RMSSD (ms),NNxx (beats),pNNxx (%),RR tri index,TINN (ms),DC (ms),DCmod (ms),AC (ms),ACmod (ms),VLF (Hz),LF (Hz),HF (Hz),VLF (ms^2),LF (ms^2),HF (ms^2),VLF (log),LF (log),HF (log),VLF (%),LF (%),HF (%),LF (n.u.),HF (n.u.),Total power (ms^2),LF/HF ratio,RESP (Hz),SD1 (ms),SD2 (ms),SD2/SD1 ratio,Approximate entropy (ApEn),Sample entropy (SampEn),alpha 1,alpha 2,Correlation dimension (D2),Mean line length (beats),Max line length (beats),Recurrence rate (REC) (%),Determinism (DET) (%),Shannon entropy,MSE(1),MSE(2),VLF (Hz) AR spectrum,LF (Hz) AR spectrum,HF (Hz) AR spectrum,VLF (ms^2) AR spectrum,LF (ms^2) AR spectrum,HF (ms^2) AR spectrum,VLF (log) AR spectrum,LF (log) AR spectrum,HF (log) AR spectrum,VLF (%) AR spectrum,LF (%) AR spectrum,HF (%) AR spectrum,LF (n.u.) AR spectrum,HF (n.u.) AR spectrum
-0.5104,1.0984,16.9931,915.9597,20.1453,65.5051,1.4538,61.5446,70572,21.4907,9,3.1915,4.492063,95,12.1537,22.2233,-10.7274,-21.5943,0.036667,0.04,0.196667,74.3033,115.8798,129.6048,4.3082,4.7526,4.8645,23.2131,36202,40.4899,47.1461,52.7302,320092,0.8941,0.143415,15.223279,24.132924,1.585265,1.0575,1.4841,0.9759,0.4767,0.1608,8.1724,60,23.4722,96.2774,2845,1.4841,2.0398,0.04,0.08,0.15,57.6866,169.5716,119.9426,4055,5.1333,4787,16.6038,48.8073,34.5227,58.5246,41396
0.5933,-0.2986,9.1921,952.5082,49.1196,62.9916,3.2906,57.6631,68.8249,55.5733,24,32,9.5,218,20.6693,51.7524,-20.0748,-53.2154,0.026667,0.073333,0.173333,44.4317,1286.2453,757.5234,3794,7.1595,6.6301,2.1272,61579,36.2665,62.9174,37.0547,2088.7718,1698,0.229007,39.569832,56.76172,1.43447,0.3998,1.6073,1.0516,0.2655,3.5388,4.7925,15,12.9205,87.5862,2.0409,1.6073,2.5102,0.04,0.09,0.15,172.3987,1076.7453,658.8098,5.1498,6.9817,6.4904,9.0282,56.3871,34.5006,61983,37.9245
-0.0514,-0.0978,11.7809,1051.7756,30.9017,57.0464,1.7159,53.44,71.9185,21.4359,4,1.4085,7125,158,10.8901,20.2063,-14.1466,-22.9528,0.036667,0.053333,0.206667,439.9255,715.8929,141.5511,6.0866,6.5735,4.9527,33.9004,55.1664,10.9079,83.4595,16.5022,1297.6981,5.0575,0.236524,15.18449,41.026685,2.701881,1.0928,1.6288,1.3553,0.5604,0.6616,13.9538,141,39.2827,98.8571,3.4196,1.6288,1.5716,0.04,0.05,0.233333,252.4545,502.9105,115.6303,5.5312,6.2204,4.7504,28.9763,57.7233,13.2719,81.2733,18.6865
1863,-0.2602,11.0234,942.7605,54.0485,63.6429,3.6921,61.3419,68.7402,93.9954,212,66877,5.578947,161,15.0259,92451,-23.4783,-93.6143,0.033333,0.06,0.25,20.5197,79.3255,1346.9695,3.0214,4.3736,7.2056,1.4165,5476,92.9839,5.5547,94.32,1448.6048,0.0589,0.380794,66.56991,37.144203,0.557973,1.1151,1.2697,0.2803,0.1536,4.1168,4.9599,22,13.1021,92.8537,2.2263,1.2697,1.1815,0.04,0.15,0.36,27.5565,106585,1127.9638,3.3162,4.6689,7.0282,2.1739,8.4085,88.9857,8.5954,90.9632
-1.3029,3.5405,28.1474,778.1687,12.0208,77.1041,1.1929,73.6073,83.8199,13.8342,0,0,3.928571,61,5.5878,15.0575,-6.5801,-15.0362,0.04,0.043333,0.28,11.2413,35.9986,25.6281,2.4196,3.5835,3.2437,15.4145,49.3624,35.1421,58358,41.5463,72.9271,1.4047,0.345254,9.795075,13.885468,1.417597,1.1457,1.5402,0.9473,0.6879,0.0032,6714,59,19.1037,93.8685,2.6123,1.5402,1.6334,0.003333,0.04,0.36,33761,41.6702,29436,3.5193,3.7298,3.3822,32.1477,39.6789,28.0294,58.4784,41.3094
0.6994,0.2821,14.7964,990.4584,33.1841,60578,2.0247,54.9193,63.5827,48.1756,13,25,7.571429,110,11.5287,49.3701,-7.3876,-44.5938,0.04,0.046667,0.353333,54.6224,183.9845,160.8178,4.0004,5.2149,5.0803,13.6591,46008,40.2148,53.2865,46.5768,399.8967,1.1441,0.252366,34.401188,31.84182,0.925602,1.078671533,1.686693431,0.757456204,0.341210949,1.348611679,7.40590438,60.40145985,19.49636277,94.61413504,2.65539781,1.686693431,1.628517518,0.003333,0.113333,0.15,104.8868,380.5591,169.4442,4.6529,5.9416,5.1325,16.0033,58.0646,25.8533,69.1272,30779
-1.7791,4.1129,26.7074,673.2389,11.9786,89.1214,1588,74.4276,98.4773,14.0809,0,0,3.617886,73,6.7368,15.4433,-6546,-14.4284,0.03,0.043333,0.383333,21.3361,48.9077,28.9821,3.0604,3.8899,3.3667,21.4947,49.2712,29.1975,62.7616,37.1918,99.2622,1.6875,0.280915,9.967992,13.701795,1.374579,1.1338,1.3862,0.9171,0.7575,0.0057,9.6968,103,31301,96.3127,3025,1.3862,1.5504,0.04,0.04,0.15,25.0544,44.9388,26.5095,3.2211,3.8053,3.2775,25.9204,46492,27.4257,62.7594,37.0219
-0.0672,1.8222,11.7729,647.6065,46.2228,92.6489,6.7304,83.1506,100.9364,74.9156,301,65.1515,8.735849,174,30.5979,78.4581,-28.4772,-75.5293,0.04,0.053333,0.376667,18.2444,57.5793,853.3633,2.9039,4.0532,6.7492,1.9179,6053,89.7093,6.1714,91.4635,951.2535,0.0675,0.379781,53.030829,38.201344,0.720361,1.2637,1.5669,0.2009,0.3266,4.6781,5.5527,37,11.6245,92.7462,2.3783,1.5669,1.0178,0.003333,0.04,0.383333,21.6954,53.9071,645.8776,3.0771,3.9873,6.4706,2.9727,7.3864,88.4983,7.6127,91.2097
0.5765,182,17.0188,1138.9986,15659,52.6779,0.7291,50.7937,56.0584,20.8556,4,1.5267,4.781818,85,6.5186,20.4,-7.4711,-21.4259,0.04,0.04,0.293333,24.4323,66.2878,113.2939,3.1959,4194,4.73,11.95,32.4217,55.4127,36.8219,62.9332,204.4548,0.5851,0.299005,14.775771,16.314337,1.104128,1.0571,2.2515,0.8187,0.3177,0.0105,5.3856,33,13.8601,92.1494,2.3223,2.2515,1.7267,0.04,0.06,0.286667,32.8361,73.8964,94.4247,3.4915,4.3027,4.5478,16.3041,36.6918,46.8847,43.8394,56.0179
259,1.5191,24769,1062.9831,11.4741,56.4449,0.6121,54.5939,59.2993,17.8995,2,0.7117,3.439024,58,4.8376,17.8067,-4.7952,-17396,0.03,0.076667,0.366667,8.2142,41.5553,54.5277,2.1059,3727,3.9987,7.8481,39.7031,52.0972,43.0844,56.5341,104.6652,0.7621,0.292525,12.679512,10.146139,0.800199,1.0474,1983,0.5929,0.2919,0.0005,7.6216,68,21.6426,94.4079,2.7065,1983,1.7744,0.04,0.073333,0.37,8.4162,27.7606,61.3081,2.1302,3.3236,4.1159,8.6132,28.4105,62.7432,31.0882,68.6568
